sq.footage,lotsize,bed,bath,"gar size","2023 appr (Total Market Value)"
1538,8100,3,2,276,149513
2414,9450,4,3,0,244508
1866,7200,4,2,0,201545
4591,17940,4,3,1008,333320
1080,7650,3,1,0,98883
816,7395,2,1,0,65713
2092,8600,3,2,420,222720
1940,9938,3,2,440,190578
2573,10600,3,3,0,254570
1858,15840,3,2,0,135355
1444,7950,3,2,440,153735
1171,7950,3,1,0,110691
1304,6264,3,1,0,172709
1755,7840,3,2,230,249973
1579,7470,2,2,209,233063
1017,8093,2,1,0,165358
1102,8400,2,1,312,167427
1948,8028,4,2,0,263430
1104,7125,2,1,360,190227
1297,7625,3,2,209,177820
2270,9975,4,3,288,346477
3215,11438,4,3,480,510727
2706,11625,3,2,504,377049
1162,7500,2,2,0,147825
1259,7500,3,2,220,183537
